"","ACCIDENT_NO","LONGITUDE","LATITUDE"
"33209","T20160026589",145.01710683,-37.82727635
"43938","T20170011298",145.05906869,-37.94723917
"73196","T20160027863",146.87037075,-36.12981431
"14495","T20150013776",145.29230166,-38.10046883
"75340","T20180004451",144.73966778,-37.75612877
"21143","T20160001281",144.70324692,-37.86813331
"11871","T20150009847",144.98067275,-37.79856994
"3083","T20140019382",145.05898089,-37.94762106
"24414","T20160007391",145.24704836,-37.77414982
"28935","T20160010512",144.99440672,-37.84439414
"19765","T20150026337",145.00232759,-37.6862887
"20247","T20150022810",143.82897282,-37.54001744
"40569","T20160022953",145.1181045,-37.88359392
"7781","T20150001308",145.07010783,-37.88634635
"73477","T20170003396",145.94677249,-38.47595077
"56784","T20180021192",145.27654168,-38.08208711
"56667","T20180014165",141.93452803,-37.50634341
"9684","T20150005030",143.82464209,-38.36587508
"16496","T20150015496",144.84281159,-37.6995691
"1330","T20140016528",-1,-1
"9861","T20150003602",145.18771966,-38.16484993
"17701","T20150018824",145.09994185,-37.87076859
"11686","T20150007774",145.01104322,-37.71205674
"1629","T20140017459",-1,-37.20418636
"54272","T20180015273",144.94445452,-37.7695377
"18279","T20150021218",146.51511459,-38.19132349
"65374","T20190007888",145.0131021,-37.86809507
"70491","T20150019940",145.01918867,-37.73965386
"41533","T20170010434",146.66425819,-36.20237173
"1551","T20140017097",-1,-1
"47779","T20180003596",145.97108086,-36.55612815
"63666","T20190002829",144.95852208,-37.80612256
"4982","T20140023695",145.75156259,-37.97527876
"7410","T20150000496",145.32767487,-37.8311523
"74632","T20170019333",144.42933025,-37.22521597
"16300","T20150016401",145.06874363,-37.82241852
"46477","T20140020210",-1,-1
"25577","T20160009840",145.52311791,-37.65022531
"48711","T20180003606",147.42459516,-36.62954111
